original,translate
Pasta Trafilata Al Bronzo,Pasta Trafilata Al Bronzo
Farines De Fruits À Coques,Farine di frutta a guscio
Farines De Châtaignes,Farina di castagne
De:Schokoladengebackenes Süßwarenprodukt,Prodotto dolciario da forno al cioccolato
En:Fresh Pasta Stuffed With Cheese And Vegetables,Pasta fresca ripiena di formaggio e verdure
Préparations Pour Desserts Lactés,Preparazioni dolciarie al latte
Sheep'S-Milk Cheeses,Formaggi di latte di pecora
Queso Fundido,Formaggio trasformato
Bietola,Bietola
Ravioli Ricotta E Spinaci,Ravioli Ricotta E Spinaci
Ravioli Di Ricotta E Spinaci,Ravioli Di Ricotta E Spinaci
Assortiments,Assortimenti
Bonbons Tendres,Dolci teneri
Tripoline,Tripoline
Sigma,Sigma
Biscotti Con Cioccolato,Biscotti Con Cioccolato
Cioccolata Senza Zuccheri,Cioccolata Senza Zuccheri
Grissini-Friabili,Grissini Friabili
En:Cheese Fritters,Frittelle di formaggio
En:Chocolate Filled With Praline,Cioccolato ripieno di pralina
En:Milk Chocolate Filled With Praline,Cioccolato al latte ripieno di pralina
Palourde,Vongola
En:Anchovies,Acciughe
Olio Extravergine D'Oliva,Olio Extravergine D'Oliva
En:Rice Oils,Oli di riso
Stracchino Senza,Stracchino Senza
Legume Flakes,Fiocchi di legumi
Senapi Dolci,Senapi Dolci
Confettura Di More,Confettura Di More
Zuppe,Zuppe
It:Passata Di Pomodoro,Passata Di Pomodoro
Pasta Fresca All'Uovo,Pasta Fresca All'Uovo
Canned Tomatoes,Pomodori in scatola
Peeled Tomatoes,Pomodori pelati
Salsicce Di Tacchino,Salsicce Di Tacchino
Stinco,Stinco
Stinco Precotto Sottovuoto,Stinco Precotto Sottovuoto
Cured Sausages,Salsicce stagionate
Relish,Rinfrescare
Chutneys,Chutney
Chutney Di Frutta,Chutney Di Frutta
Mostarde Di Fichi,Mostarde Di Fichi
En:Chocolates-With-Hazelnuts,Cioccolatini con nocciole
Zeppole Dolci,Zeppole Dolci
Fr:Saucisses Sèches,Salsicce secche
Agenti Antiagglomeranti,Agenti Antiagglomeranti
Bicarbonato Di Sodio,Bicarbonato Di Sodio
Insalata Pollo,Insalata Pollo
Frattaglie,Frattaglie
En:Tripe Dishes,Piatti di trippa
Trippa,Trippa
En:Anned Tripe Dishes,Piatti a base di trippa Anned
En:Roasted Tuna,Tonno arrostito
Pâté,Paté
Insalate Di Verdure,Insalate Di Verdure
Risorse Parboiled,Risorse Parboiled
Cipolle Sottaceto,Cipolle Sottaceto
Burro Pastorizzato,Burro Pastorizzato
Tramezzini Al Salmone,Tramezzini Al Salmone
Tramezzini Con Salmone,Tramezzini Con Salmone
Tramezzini Salmone,Tramezzini Salmone
It:Tortellini Alla Carne,Tortellini Alla Carne
Pasta-Di-Semola-Di-Grano-Duro,Pasta Di Semola Di Grano Duro
En:Vegetables Based Foods,Alimenti a base di verdure
En:Tomatoes And Their Products,Pomodori e prodotti derivati
En:Tomato Sauces,Salse al pomodoro
En:Tomato Purées,Passata di pomodoro
En:Italy,Italia
En:Double Concentrate Tomato Paste,Pasta di pomodoro doppio concentrato
Diepvriesproducten,Cibi congelati
Zuppe Surgelate,Zuppe Surgelate
Verdura Surgelata,Verdura Surgelata
En:Shallots,Scalogno
En:Frozen Shallots,Scalogni congelati
Edamame,Edamame
En:Frozen Edamame,Edamame congelato
Carciofi Tritati Congelati,Carciofi Tritati Congelati
It:Cavolfiore A Rosette,Cavolfiore A Rosette
Panes De Molde Con Cereales,Pani modellati con cereali
Sour Snakes,Serpenti acidi
En:Acid Gummy Candies,Caramelle gommose all'acido
En:Cibi E Bevande A Base Vegetale  Cibi A Base Vegetale  Noci Ed I Loro Prodotti  Frutti A Guscio  Pistacchi  Pistacchio Tostato  Toasted Pistachios  Pistacchi Tostati,Cibi E Bevande A Base Vegetale Cibi A Base Vegetale Noci Ed I Loro Prodotti Frutti A Guscio Pistacchi Pistacchio Tostato Toasted Pistachios Pistacchi Tostati
Fr:Bio,Bio
En:Milk Chocolate Candies,Caramelle al cioccolato al latte
Hot Chocolate,Cioccolata calda
En:Chocolates With Praline,Cioccolatini con pralina
Manzo Affumicato,Manzo Affumicato
Fr:Pesto Trapanese,Pesto Trapanese
Nata,Nata
Cremas De Pasteleria,Creme de Pasteleria
Mousse A Base Di Latte,Mousse A Base Di Latte
Riso Basmati Integrale,Riso Basmati Integrale
Polipo Surgelatp,Polipo chirurgico
En:Chicken Patties,Polpettine di pollo
Pan Bauletto Rustico,Pan Bauletto Rustico
Pan Bauletto,Pan Bauletto
Fruits Cereal Bars,Barrette di cereali alla frutta
Pomodoro,Pomodoro
Olivenöle Von Italien,Oli d'oliva dall'Italia
Salades Vertes,Salades Vertes
Bevanda Zuccherata A Base Di Soia,Bevanda Zuccherata A Base Di Soia
Succo Di Menta,Succo Di Menta
Toscano,Toscano
Zuppe Deidratate,Zuppa Deidratata
En:Latte Scremato,Latte Scremato
En:Latte Senza Lattosio,Latte Senza Lattosio
Arachidi Rivestite,Arachidi Rivestite
Prosciutto Toscano,Prosciutto Toscano
Broccoli Surgelati,Broccoli Surgelati
Prosciutto Di Carpegna,Prosciutto Di Carpegna
Formaggio-Molle,Formaggio Molle
It:Troccoli,Troccoli
Sirops Aromatisés,Sciroppi aromatizzati
Sirops De Citron,Sirops De Citron
Mirtilli,Mirtilli
Saucisses,Salsicce
Saucisses Françaises,Salsicce francesi
Saucisses De Strasbourg,Salsicce di Strasburgo
Knacks Industrielles,Maglieria industriale
Pork Sausages,Salsicce di maiale
Laits Frais,Latte fresco
Pasta Per Pizza,Pasta Per Pizza
Verdura In Scatola,Verdura In Scatola
Tartare Sauces,Salse per tartare
It:Prugne-Secche,Prugne Secche
Chips De Pommes De Terre À L'Huile De Tournesol,Patatine all'olio di girasole
Suolaiset Naposteltavat,Snack salati
Alkupalat,Pangrattato
Lastut Ja Ranskanperunat,Patatine e patatine fritte
Lastut,Carichi
Farine Raffinate,Farine Raffinate
Œufs De Poules Élevées Au Sol,Uova di galline allevate a terra
En:Blend Of Olive Oils,Miscela di oli d'oliva
Formaggio A Cubetti,Formaggio A Cubetti
Composte Di Pesca,Composte Di Pesca
Frutta Essicata,Frutta Essicata
Uva Essicata,Uva Essicata
Peperoncini Macinati In Olio Extra Vergine Di Oliva,Peperoncini Macinati In Olio Extra Vergine Di Oliva
Verdure Pastellate Surgelate,Verdure Pastellate Surgelate
Merlano Impanato,Merlano Impanato
Prezzemolo,Prezzemolo
It:Gelato Al Limone,Gelato Al Limone
Yogurt Magro Prugna E Cereali,Yogurt magro Prugna E Cereali
En:Mushroom Sauces,Salse ai funghi
En:Unsalted Polenta,Polenta non salata
Olio Di Riso,Olio Di Riso
En:Gnocchi Di Patate,Gnocchi Di Patate
Meat Products,Prodotti a base di carne
Speck,Speck
Pasta Al Farro,Pasta al Farro
Pizze Al Prosciutto,Pizze Al Prosciutto
En:Pizzas With Ham,Pizze con prosciutto
En:Prosciutto Pizza,Prosciutto Pizza
Vaniglia,Vaniglia
En:Vanilla Powder,Polvere di vaniglia
Decorazioni Alimentari,Decorazioni Alimentari
Cacao-Cake,Torta al cacao
Pasticcino Alla Crema,Pasticcino Alla Crema
En:Canned Cannellini Beans,Fagioli cannellini in scatola
Sugo Alla Bolognese,Sugo Alla Bolognese
En:Canned Borlotti Beans,Fagioli borlotti in scatola
Fruit Juice Concentrates,Succhi di frutta concentrati
Fruit And Vegetable Juices,Succhi di frutta e verdura
Produits Artisanaux,Prodotti artigianali
Gressins Artisanaux,Gressini artigianali
Vinaigres De Cidre,Vinaigres De Cidre
En:Puffed-Corn-Cakes,Torte di mais soffiato
Focaccine,Focaccine
Cilazione,Cilazione
En:Cereali Soffiati,Cereali Soffiati
En:Chicchi Soffiati,Chicchi Soffiati
En:Riso Soffiato,Riso Soffiato
Huile Pour Friture,Olio per friggere
Fruit And Fruit Seed Oils,Oli di frutta e semi di frutta
Grape Seed Oils,Oli di semi d'uva
Succo Di Mandarancio,Succo Di Mandarancio
En:Black Chickpeas,Ceci neri
Fr:Quinoa Tricolore,Quinoa Tricolore
En:Ladyfingers,Dita di donna
En:Puff Pastry Biscuit From Bakery,Biscotto di pasta sfoglia da forno
En:Acesulfame Potassium,Potassio acesulfame
Yaourts De Soja Aux Fruits,Frutti di Soja e Frutti di Bosco
Yaourts De Soja À La Fraise,Yogurt di soia alla fragola
Dessert Per Neonati A Base Di Latticini,Dessert Per Neonati A Base Di Latticini
En:Butter 82% Fat Unsalted,Burro 82% di grassi non salato
Christmas Foods And Drinks,Cibi e bevande di Natale
Christmas Sweets,Dolci di Natale
Biscotti Con Cioccolato E Frutta,Biscotti Con Cioccolato E Frutta
En:Teas,Tè.
En:Iced Teas,Tè freddi
En:Fruit And Oat Beverages,Bevande alla frutta e all'avena
En:Lactose-Free-Dairies,Latterie senza lattosio
Reggiano,Reggiano
Prosciuto Di Parma,Prosciuto Di Parma
Salame Milano,Salame Milano
Hr:Gragnano Tjestenina,Gragnano Tjestenina
Croccante,Croccante
Croccante Alle Mandorle,Croccante Alle Mandorle
Es:Tortellini Con Carne,Tortellini Con Carne
Patate Prefritte Surgelate,Patate Prefritte Surgelate
Frozen Potatoes,Patate congelate
Purées D'Amande Complète,Purea completa di mandorle
Prodotto Da Fornoò,Prodotto Da Fornoò
En:Red Onions,Cipolle rosse
Pear Juices,Succhi di pera
En:Brioche Sandwich Bread,Pane per panini Brioche
Sofficini,Sofficini
En:Chocolate Pies,Chocolate Pies
Pasta-All-Uovo,Pasta all'Uovo
Ravioli Di Pesce,Ravioli Di Pesce
En:Salmon Sandwiches,Panini al salmone
En:Durum Wheat Plates For Lasagna,Piatti di grano duro per lasagne
Frutta Omogeneizzata,Frutta Omogeneizzata
Pastina Di Semola,Pastina Di Semola
Valeriana,Valeriana
It:Succhi,Succhi
Nettare Di Banana,Nettare Di Banana
Minestra,Minestra
Crema Di Verdure,Crema Di Verdure
En:Chicken-Preparations,Preparazioni di pollo
Dried Coconut Chips,Chips di cocco essiccato
En:Dried Pre-Cooked Polenta Semolina,Semola per polenta precotta essiccata
En:Tomato Sauces With Ricotta,Sughi al pomodoro con ricotta
En:Greengage Plum Jams,Marmellata di prugne Greengage
Lievito Per Panificazione,Lievito Per Panificazione
Lievito Di Birra Compresso,Lievito Di Birra Compresso
Piante Aromatiche Surgelate,Piante Aromatiche Surgelate
En:Frozen Parsley,Prezzemolo congelato
Plumcake,Plumcake
Boissons À L'Orange,Bevande all'arancia
Boisson-Aromatisee-Sucree,Boisson Aromatisee Sucree
Bitter Senza Zucchero,Bitter Senza Zucchero
Calendario Dell'Avvento,Calendario Dell'Avvento
Gallette Multicereali,Gallette Multicereali
Cracker Snack,Spuntino a base di cracker
Chiacchiere,Chiacchiere
En:Type 4,Tipo 4
Chips De Patatas Fritas Con Sabores,Patatine aromatizzate
En:Paprika Crisps,Patatine alla paprika
Fr:Patatas,Patate
Pizzas - Kuchen Und Quiches,"Pizze, torte e quiche"
Pizzen,Pizze
Pizzas Au Thon,Pizze Au Thon
Spumanti,Spumanti
Farine Di Farro Dicocco,Farine Di Farro Dicocco
Condimenti Per Pasta,Condimenti Per Pasta
Piatto-Pronto-Di-Carni-Bovine,Piatto Pronto Di Carni Bovine
Carottes Fraîches,Carote fresche
Alimenti,Cibo
En:Dehydrated Cereals And Vegetables Soup,Zuppa di cereali e verdure disidratate
Risotto Con Formaggio,Risotto Con Formaggio
Parboiled Rices,Riso parboiled
En:Puffed Cereal Cakes,Torte di cereali soffiati
En:Puffed Rice Cakes,Torte di riso soffiato
En:Quinoa Dishes,Piatti a base di quinoa
Riso Da Insalata,Riso Da Insalata
De:76,76
Latte Intero Sterilizzato,Latte Intero Sterilizzato
It:Fagioli Cannellini,Fagioli Cannellini
Croissant Filled With Cream,Croissant ripieno di crema
Culatello Di Zibello,Culatello Di Zibello
Ravioli Con Culatello Di Zibello,Ravioli Con Culatello Di Zibello
De:Frische Eier-Teigwaren Mit Einer Füllung Aus Pilzen,Pasta fresca all'uovo con ripieno di funghi
En:Sweet Pasta Dishes,Piatti di pasta dolce
Ravioli With Ricotta And Spinach,Ravioli With Ricotta And Spinach
Mi,Mi
Parmigiana Di Melanzane,Parmigiana Di Melanzane
Fr:Desserts Lactés À La Vanille,Dessert al latte e vaniglia
En:Yogurt Alla Greca,Yogurt Alla Greca
Yogurt Aromatizzato Al Bifidus,Yogurt Aromatizzato Al Bifidus
Prodotti Lattiero Caseari,Prodotti Lattiero Caseari
Strawberry Yogurts,Yogurt alla fragola
Bevanda Artificialmente Zuccherata,Bevanda Artificialmente Zuccherata
Bevanda Zuccherata,Bevanda Zuccherata
Μπισκότο,Biscotto
Snack-Di-Patate-Gusto-Paprika,Snack Di Patate Gusto Paprika
Muesli Au Soy,Muesli Au Soy
Confetture Di Ribes Nero,Confetture Di Ribes Nero
Legumi In Scatola Piselli,Legumi In Scatola Piselli
Vellutata Di Pomodori Gialli,Vellutata Di Pomodori Gialli
Centrifugato Di Frutta,Centrifugato Di Frutta
Succo Di Pesca,Succo Di Pesca
Bevanda Arancia Rossa,Bevanda Arancia Rossa
Concentrato Di Pomodoro,Concentrato Di Pomodoro
Composte Mela E Pesca,Mela e Pesca Compost
Succo Arancia,Succo Arancia
Fagioli Lessati,Fagioli Lessati
Green Peas,Piselli verdi
Canned Peas,Piselli in scatola
En:Couscous With Vegetables,Couscous con verdure
Lardo Di Bacon Affumicato,Lardo Di Bacon Affumicato
Artisan Products,Prodotti artigianali
Handmade Breadsticks,Grissini fatti a mano
Olives Vertes En Saumure,Olive verdi in salamoia
Grøntsagsbaserede Fødevarer,Alimenti a base vegetale
Melanzane Sottolio,Melanzane Sottolio
Desser,Dessert
It:Cibi Di Origine Vegetale,Cibi Di Origine Vegetale
En:Canned Diced Mixed Vegetables,Verdure miste in scatola
Bâtonnets De Son De Blé,Bastoncini di crusca di frumento
Vollkorn Crackers,Cracker integrali
Salmon Fillets,Filetti di salmone
Tramezzini Al Gelato A Base Vegetale,Tramezzini Al Gelato A Base Vegetale
Bastoncini Di Verdure,Bastoncini Di Verdure
Pudding Di Riso,Budino di Riso
Formaggio Grattuggiato,Formaggio Grattuggiato
It:Asiago,Asiago
En:Mascarpone,Mascarpone
En:Cereals And Vegetables Patties,Polpette di cereali e verdure
Gallette Di Farro Da Agricoltura Biologica,Gallette Di Farro Da Agricoltura Biologica
En:Plant-Based Mixed Pickles,Sottaceti misti a base vegetale
En:Mixed Vegetable Pickles,Sottaceti di verdure miste
Piselli E Carote In Scatola,Piselli E Carote In Scatola
Fr:Pâtes Italiennes,Pasta italiana
It:Pasta Integrale,Pasta Integrale
Piave,Piave
Conchigliette,Conchigliette
Filets De Cabillaud Panés,Filetti di merluzzo impanati
Confiseries De Fruits À Coques,Pasticceria a base di noci
En:Mixtures-Of-Aromatic-Plants,Miscele di piante aromatiche
Misto Per Soffritto,Misto Per Soffritto
Riso Selvatico,Riso Selvatico
Cacahuètes Non Décortiquées,Arachidi non sgusciate
Torta-Al-Limone,Torta Al Limone
Crema-Con-Funghi,Crema Con Funghi
En:Broad Beans,Fave
Fave In Scatola,Fave In Scatola
Dolce Congelato,Dolce Congelato
Plain Greek-Style Yogurts,Yogurt greco normale
En:Hemp Seeds,Semi di canapa
Zucca E Derivati,Zucca E Derivati
En:Pumpkins,Zucche
Meat Patties,Polpette di carne
Beef Patties,Polpette di manzo
Ricca Di Fibre,Ricca Di Fibre
Vino Bianco,Vino Bianco
Insalata Pronta,Insalata Pronta
Torta Salata,Torta Salata
En:Unshelled Pumpkin Seeds,Semi di zucca non sgusciati
Pasta Elicoidale,Pasta Elicoidale
Croccante Alle Nocciole,Croccante Alle Nocciole
Cream Soups,Minestre in crema
Cream Of Vegetable Soups,Crema di zuppe di verdure
En:Mixed Fruit Soy Yogurts,Yogurt di soia alla frutta mista
En:Lemon Soy Yogurts,Yogurt di soia al limone
Succo Di Arancia Rossa Coop,Succo Di Arancia Rossa Coop
Macinato Di Carne Fresco,Macinato Di Carne Fresco
Filetto Di Merluzzo,Filetto Di Merluzzo
Dried Mushrooms,Funghi secchi
Dried Porcini Mushrooms,Funghi porcini secchi
Radicchio Rosso Di Treviso,Radicchio Rosso Di Treviso
Radicchio Rosso Grigliato,Radicchio Rosso Grigliato
Ru:Микс Орехов,Noci miste
En:Vegetarian Cannelloni,Vegetarian Cannelloni
En:Cannelloni With Cooked Vegetables And Goat Cheese,Cannelloni con verdure cotte e formaggio di capra
En:Cannelloni With Ricotta And Spinach,Cannelloni With Ricotta And Spinach
En:Frozen Fish Preparations,Preparazioni di pesce congelate
It:Filetti Di Alici,Filetti Di Alici
Fr:Tortellini Bolognese,Tortellini Bolognese
Tortellini Alla Bolognese,Tortellini Alla Bolognese
Yogurt-Intero-Alla-Fragola,Yogurt Intero Alla Fragola
Pl:Capperi,Capperi
En:Oat Milk Yogurts,Yogurt al latte d'avena
Bevanda-Alla-Frutta,Bevanda Alla Frutta
Yogurt Cremoso,Yogurt Cremoso
En:Aceto-Balsamico,Aceto Balsamico
Mandorle Pralinate,Mandorle Pralinate
Uht Creams,Creme Uht
Probiotici,Probiotici
Bevanda-Analcolica-A-Base-Di-Succo-Di-Arancia-E-Limone-Con-Vitamine,Bevanda Analcolica A Base Di Succo Di Arancia E Limone Con Vitamine
Gelato Al Cioccolato,Gelato Al Cioccolato
Gelato Alla Menta,Gelato Alla Menta
Preparato Solubile Zuccherato,Preparato Solubile Zuccherato
Treccia-Glassata,Treccia Glassata
Treccia Glassata,Treccia Glassata
En:Coffee Ice Cream Tubs,Vaschette di gelato al caffè
Uva,Uva
Boissons Distillés,Bevande distillate
Alcools Forts,Forti di Alcools
Low-Fat Yogurts,Yogurt a basso contenuto di grassi
Confezione Natalizia,Confezione Natalizia
Muesli Enrichi En Vitamines Et Minéraux,Muesli arricchito di vitamine e minerali
Muesli Aux Céréales Et Fruits,Muesli di cereali e frutta
Medaglioni,Medaglioni
Brodo Di Pollo,Brodo Di Pollo
Misto Di Erbe E Spezie,Misto Di Erbe E Spezie
En:Rice Salads,Insalate di riso
Condiments À Tartiner,Condimenti spalmabili
Fr:Sauce Arrabbiata,Sauce Arrabbiata
Condiriso,Condiriso
Olives Farcies,Olive Farcies
Olives Vertes Farcies,Olive Vertes Farcies
Crostatina Alla Albicocca,Crostatina Alla Albicocca
Tonno Con Verdure E Legumi,Tonno Con Verdure E Legumi
Neonato,Neonato
Sauce Milles Iles,Salsa Mille Isole
Sauce Au Poivre Condimentaire Froide,Condimento freddo Salsa al pepe
Bebe,Bebe
Senza Glutine,Senza Glutine
Pasti Principali Per Neonati,Pasti Principali Per Neonati
Pasti Per Neonati A Base Di Carne,Pasti Per Neonati A Base Di Carne
Pasti Per Neonati A Base Di Verdure,Pasti Per Neonati A Base Di Verdure
Baby Foods,Alimenti per bambini
Месни Продукти,Prodotti Mesni
Месо,Meso
Бебешки Храни,Alimenti per bambini
Заешко Месо,Zaeshko Meso
Biscotti Alla Soia,Biscotti Alla Soia
Fr:Broccoli À Rosette,Broccoli À Rosette
Marmellata Di Albicocche,Marmellata Di Albicocche
Olio Di Semi Di Arachidi,Olio Di Semi Di Arachidi
Ditalini,Ditalini
Fagioli-Cannellini,Fagioli Cannellini
Fr:Maquereaux-Au-Naturel,Sgombro naturale
Sgombro-Al-Naturale,Sgombro Al Naturale
En:Unsweetened Plain Almond-Based Drinks,Bevande semplici non zuccherate a base di mandorle
Fr:Yaourts Au Café,I giorni di festa al Café
En:293 K 70 Kcal,293 K 70 Kcal
Asparagi Bianchi,Asparagi Bianchi
Ventresca Di Tonno,Ventresca Di Tonno
Canned Salmons,Salmoni in scatola
Preparazioni Surgelate A Base Di Carne,Preparazioni Surgelate A Base Di Carne
En:Dried Broad Beans,Fave secche
Semolino,Semolino
En:Pains Hot Dog,Hot Dog di Dolore
Gamberetti Boreali,Gamberetti Boreali
Fr:Orangettes,Orangette
Fr:Flute,Flauto
Fr:Barres De Céréales Aux Fruits Et Fruits À Coques,Barrette di cereali con frutta e noci
En:Tangerine Juices,Succhi di mandarino
En:Refrigerated Squeezed Tangerine Juices,Succhi di mandarino spremuti in frigorifero
Miele Di Sulla,Miele Di Sulla
Fr:Biscuits Fourrés Aux Fruits,Biscotti ripieni di frutta
Straciatella,Straciatella
Lingue Di Gatto,Lingue Di Gatto
Brioche Integrale,Brioche integrale
Coppa Di Parma,Coppa Di Parma
Biscotti Ripieni Alla Crema Di Nocciola,Biscotti Ripieni Alla Crema Di Nocciola
Gallette Di Grano Khorasan Soffiato,Gallette Di Grano Khorasan Soffiato
Minestre-Surgelate,Minestre Surgelate
Fr:Compotes De Mirtille,Composte di Mirtille
Mushroooms,Sale da pranzo
Stoccafisso,Stoccafisso
Baccalà Alla Veneziana,Baccalà Alla Veneziana
Cream Of Olives,Crema di olive
Cereals And Their Procucts,I cereali e i loro prodotti
De:Gefüllte Halbbitterschokolade Mit Waffel,Ripieno di cioccolato semidolce con wafer
Merendina,Merendina
Prodotto Di Pasticceria,Prodotto Di Pasticceria
Sorgo,Sorgo
Formaggio-Fresco,Formaggio Fresco
Papaia,Papaia
En:Dried Papayas,Papaya essiccata
Büffelkäse,Formaggio di bufala
Büffelmozzarella,Büffelmozzarella
Marmellate-Di-Ciliegie,Marmellate Di Ciliegie
En:Doughnuts Filled With Chocolate,Ciambelle ripiene di cioccolato
Croccantini,Croccantini
Mitili Surgelati,Mitili Surgelati
Ru:Шоколадное Яйцо,Uovo di cioccolato
Cacao En Afgeleide Producten,Cacao e derivati
Chocoladeproducten,Prodotti al cioccolato
Pure Chocolades,Cioccolatini puri
Preparato-In-Polvere-Per-Cappuccino,Preparato In Polvere Per Cappuccino
En:Bruschetta,Bruschetta
Confettura Extra Di Pere,Confettura Extra Di Pere
Confettura Di Pere,Confettura Di Pere
It:Mostarda,Senape
Pomodori Pelati Interi,Pomodori Pelati Interi
En:Liquorice Roots,Radici di liquirizia
Viandes En Conserve,Carne in scatola
It:Carne In Gelatina,Carne in gelatina
Pl:Napoj,Bevande
Pl:Napoj-Sojowy,Bevanda alla soia
En:Cocoa Rice-Based Drinks,Bevande a base di riso e cacao
En:Rice Desserts,Dessert di riso
Bignè,Bignè
En:Whole Wheat Flours,Farine integrali
Farine Integrali,Farine integrali
En:Stevia Sweetener,Dolcificante Stevia
Süßstoffe,Dolcificanti
Zucker,Zucchero
Confettura Extra,Confettura Extra
Confettura Pesche,Confettura Pesche
En:Rostis,Rostis
En:Frozen Potato Rostis,Frozen Potato Rostis
Biscotto Solubile,Biscotto Solubile
Biscotto-Granulato,Biscotto Granulato
Es:Papilla Para Bebé,Papilla Para Bebé
En:Liquida,Liquida
Sughi-Pronti,Sughi Pronti
Sauces Arrabiata,Salse Arrabiata
It:Caciotta,Caciotta
Sciroppo Di Agave Biologico,Sciroppo Di Agave Biologico
Gallette Di Mais Con Cioccolato,Gallette Di Mais Con Cioccolato
It:Pasta Di Legumi,Pasta Di Legumi
Maracujá,Maracujá
Polpa Di Maracujá,Polpa Di Maracujá
Gorduras,Grasso
Gorduras Animais,Grassi animali
Gorduras De Manteiga,Grassi del burro
Jus De Citron,Jus de Citron
En:Raclette,Raclette
Alimento Vegetale Sostituto Formaggio,Alimento Vegetale Sostituto Formaggio
De:Zimtkeks,Biscotti alla cannella
Heißgetränke,Bevande calde
Kakao- Und Schokoladenpulver,Cacao e cioccolato in polvere
Kakaohaltige Getränkepulver,Bevande in polvere contenenti cacao
